objective,optimization,unit,value,method,candidate_id,run_id,combined_pareto,temperature,max_output_tokens,cpu_model,frequency_ghz,issue_width,l1d_cache_kib,l1d_associativity,l2_cache_kib,l2_associativity,native_latency_ms,proxy_simulated_seconds,estimated_cache_dynamic_energy_uj,answer_quality,answer_quality_loss
native_latency,min,ms,1242.816940008197,gemini,588ef56fbc16fa8f5a74c5075ba2357f8bce41b21083cfc93ae367d701bd48b5,run-dc99e2d885564cf09f79696f6b12c569,True,0,128,RiscvO3CPU,4,2,16,2,256,4,1242.816940008197,0.022916,6977.288508254111,0.44,0.56
proxy_simulated_time,min,seconds,0.019288,gemini,c12f1db945bd459690a2984198014bd4b9c6a4f83702dfefa884cad869ead419,run-ca209f830784492a83295d2477390f7e,True,0.2,128,RiscvO3CPU,4,4,64,8,1024,16,1265.6671659933636,0.019288,17827.216033585,0.428,0.5720000000000001
estimated_cache_dynamic_energy,min,microjoules,6553.915450293101,gemini,6ab534d518fb46d61dd2d0d4be1300be05dfb33176681e922ddd2b4bb3f924ea,run-2fd56e8fc14e45e299b7ffaef7e4fcb0,True,0,128,RiscvO3CPU,4,4,16,2,256,4,1275.9499639942078,0.019344,6553.915450293101,0.44,0.56
answer_quality,max,fraction,0.444,random,3fbd6776d457fe8963536804358c0de401bca6bbb4f987a0d5a27579c40b88f6,run-225a875c1305442eafe8fa7fa1762f42,True,0.2,256,RiscvO3CPU,3,2,64,2,512,8,1277.2139474982396,0.02897,7007.79389151394,0.444,0.556
